castaway_id,num_season,num_success
US0161,11,1
US0218,14,1
US0235,16,1
US0300,19,1
US0150,20,1
US0197,20,1
US0300,20,1
US0196,25,1
US0383,25,1
US0384,26,1
US0437,29,1
US0439,29,1
US0442,29,1
US0452,30,1
US0459,30,1
US0460,30,1
US0429,31,2
US0433,31,2
US0493,33,1
US0495,33,1
US0414,34,2
US0476,34,3
US0505,35,1
US0509,35,1
US0516,35,2
US0528,36,1
US0548,37,1
US0550,37,1
US0551,37,1
US0556,37,1
US0559,38,1
US0560,38,2
US0583,39,1
US0584,39,1
US0589,39,2
US0386,40,1
US0414,40,1
US0442,40,1
US0619,42,1
US0628,43,1
US0645,44,1
US0652,44,1
US0655,44,1
US0672,45,1
