castaway_id,season,total_challenges_competed,total_won,win_percentage
US0001,1,1,0,0
US0002,1,3,2,0.6666666666666666
US0003,1,5,2,0.4
US0004,1,7,3,0.42857142857142855
US0005,1,9,4,0.4444444444444444
US0006,1,11,6,0.5454545454545454
US0007,1,12,6,0.5
US0008,1,14,8,0.5714285714285714
US0009,1,16,6,0.375
US0010,1,18,8,0.4444444444444444
US0011,1,21,8,0.38095238095238093
US0012,1,23,6,0.2608695652173913
US0013,1,24,5,0.20833333333333334
US0014,1,25,6,0.24
US0015,1,25,10,0.4
US0016,1,25,6,0.24
US0017,2,1,0,0
US0018,2,3,2,0.6666666666666666
US0019,2,5,3,0.6
US0020,2,7,3,0.42857142857142855
US0021,2,9,5,0.5555555555555556
US0022,2,10,6,0.6
US0023,2,11,6,0.5454545454545454
US0024,2,13,6,0.46153846153846156
US0025,2,15,6,0.4
US0026,2,16,7,0.4375
US0027,2,18,4,0.2222222222222222
US0028,2,20,6,0.3
US0029,2,22,6,0.2727272727272727
US0030,2,23,6,0.2608695652173913
US0031,2,23,12,0.5217391304347826
US0032,2,23,5,0.21739130434782608
US0033,3,1,0,0
US0034,3,3,0,0
US0035,3,5,3,0.6
US0036,3,7,4,0.5714285714285714
US0037,3,9,5,0.5555555555555556
US0038,3,11,6,0.5454545454545454
US0039,3,12,5,0.4166666666666667
US0040,3,14,5,0.35714285714285715
US0041,3,16,7,0.4375
US0042,3,17,7,0.4117647058823529
US0043,3,19,6,0.3157894736842105
US0044,3,21,7,0.3333333333333333
US0045,3,22,6,0.2727272727272727
US0046,3,23,10,0.43478260869565216
US0047,3,23,7,0.30434782608695654
US0048,3,23,7,0.30434782608695654
US0049,4,1,0,0
US0050,4,3,0,0
US0051,4,5,0,0
US0052,4,6,0,0
US0053,4,8,6,0.75
US0054,4,10,3,0.3
US0055,4,11,2,0.18181818181818182
US0056,4,13,7,0.5384615384615384
US0057,4,15,7,0.4666666666666667
US0058,4,17,9,0.5294117647058824
US0059,4,19,8,0.42105263157894735
US0060,4,21,4,0.19047619047619047
US0061,4,22,10,0.45454545454545453
US0062,4,23,12,0.5217391304347826
US0063,4,23,9,0.391304347826087
US0064,4,23,4,0.17391304347826086
US0065,5,1,0,0
US0066,5,3,0,0
US0067,5,5,3,0.6
US0068,5,7,2,0.2857142857142857
US0069,5,8,5,0.625
US0070,5,10,6,0.6
US0071,5,11,6,0.5454545454545454
US0072,5,12,6,0.5
US0073,5,14,6,0.42857142857142855
US0074,5,16,6,0.375
US0075,5,18,6,0.3333333333333333
US0076,5,20,8,0.4
US0077,5,21,8,0.38095238095238093
US0078,5,22,6,0.2727272727272727
US0079,5,22,7,0.3181818181818182
US0080,5,22,11,0.5
US0081,6,1,0,0
US0082,6,3,2,0.6666666666666666
US0083,6,5,1,0.2
US0084,6,7,4,0.5714285714285714
US0085,6,8,4,0.5
US0086,6,10,5,0.5
US0087,6,11,5,0.45454545454545453
US0088,6,13,6,0.46153846153846156
US0089,6,15,6,0.4
US0090,6,16,5,0.3125
US0091,6,18,6,0.3333333333333333
US0092,6,20,6,0.3
US0093,6,21,5,0.23809523809523808
US0094,6,22,5,0.22727272727272727
US0095,6,22,8,0.36363636363636365
US0096,6,22,9,0.4090909090909091
US0097,7,2,1,0.5
US0098,7,4,1,0.25
US0099,7,19,5,0.2631578947368421
US0100,7,19,6,0.3157894736842105
US0101,7,10,2,0.2
US0102,7,12,2,0.16666666666666666
US0103,7,12,7,0.5833333333333334
US0104,7,12,4,0.3333333333333333
US0105,7,13,4,0.3076923076923077
US0106,7,15,4,0.26666666666666666
US0107,7,17,9,0.5294117647058824
US0108,7,19,4,0.21052631578947367
US0109,7,21,7,0.3333333333333333
US0110,7,24,8,0.3333333333333333
US0111,7,25,9,0.36
US0112,7,25,7,0.28
