season,castaway_id,num_confessionals,num_episodes,confessionals_per_episode
1,US0001,2,1,2
1,US0002,11,2,5.5
1,US0003,9,3,3
1,US0004,19,4,4.75
1,US0005,11,5,2.2
1,US0006,22,6,3.6666666666666665
1,US0007,35,7,5
1,US0008,35,8,4.375
1,US0009,47,9,5.222222222222222
1,US0010,56,10,5.6
1,US0011,54,11,4.909090909090909
1,US0012,57,12,4.75
1,US0013,71,13,5.461538461538462
1,US0014,51,13,3.923076923076923
1,US0015,85,13,6.538461538461538
1,US0016,92,13,7.076923076923077
2,US0017,4,1,4
2,US0018,4,2,2
2,US0019,12,3,4
2,US0020,18,4,4.5
2,US0021,16,5,3.2
2,US0022,21,6,3.5
2,US0023,35,7,5
2,US0024,23,8,2.875
2,US0025,60,9,6.666666666666667
2,US0026,17,10,1.7
2,US0027,23,11,2.090909090909091
2,US0028,34,12,2.8333333333333335
2,US0029,57,13,4.384615384615385
2,US0030,70,14,5
2,US0031,98,14,7
2,US0032,69,14,4.928571428571429
3,US0033,1,1,1
3,US0034,4,2,2
3,US0035,9,3,3
3,US0036,9,4,2.25
3,US0037,19,5,3.8
3,US0038,33,6,5.5
3,US0039,26,7,3.7142857142857144
3,US0040,23,8,2.875
3,US0041,29,9,3.2222222222222223
3,US0042,40,10,4
3,US0043,34,11,3.090909090909091
3,US0044,29,12,2.4166666666666665
3,US0045,58,13,4.461538461538462
3,US0046,84,13,6.461538461538462
3,US0047,39,13,3
3,US0048,68,13,5.230769230769231
4,US0049,4,1,4
4,US0050,6,2,3
4,US0051,13,3,4.333333333333333
4,US0052,7,4,1.75
4,US0053,13,5,2.6
4,US0054,39,6,6.5
4,US0055,32,7,4.571428571428571
4,US0056,34,8,4.25
4,US0057,6,9,0.6666666666666666
4,US0058,32,10,3.2
4,US0059,28,11,2.5454545454545454
4,US0060,54,12,4.5
4,US0061,48,13,3.6923076923076925
4,US0062,82,13,6.3076923076923075
4,US0063,39,13,3
4,US0064,36,13,2.769230769230769
5,US0065,8,1,8
5,US0066,4,2,2
5,US0067,7,3,2.3333333333333335
5,US0068,20,4,5
5,US0069,11,5,2.2
5,US0070,27,6,4.5
5,US0071,33,7,4.714285714285714
